id,cd_sig,code_10km,id_gps_data,id_device,gps_date,ttf,temperature,sat_number,hdop,latitude,longitude,altitude,dimension,accurate
102,1kmL93E978N6381,E978N6381,,,,,,,,,,,,
103,1kmL93E978N6382,E978N6382,,,,,,,,,,,,
104,1kmL93E979N6338,E979N6338,,,,,,,,,,,,
105,1kmL93E979N6339,E979N6339,,,,,,,,,,,,
106,1kmL93E979N6340,E979N6340,,,,,,,,,,,,
107,1kmL93E979N6341,E979N6341,,,,,,,,,,,,
108,1kmL93E979N6342,E979N6342,,,,,,,,,,,,
109,1kmL93E979N6343,E979N6343,,,,,,,,,,,,
110,1kmL93E979N6344,E979N6344,,,,,,,,,,,,
111,1kmL93E979N6345,E979N6345,,,,,,,,,,,,
112,1kmL93E979N6346,E979N6346,,,,,,,,,,,,
113,1kmL93E979N6347,E979N6347,,,,,,,,,,,,
114,1kmL93E979N6348,E979N6348,,,,,,,,,,,,
115,1kmL93E979N6349,E979N6349,,,,,,,,,,,,
116,1kmL93E979N6350,E979N6350,,,,,,,,,,,,
117,1kmL93E979N6351,E979N6351,,,,,,,,,,,,
118,1kmL93E979N6352,E979N6352,,,,,,,,,,,,
119,1kmL93E979N6353,E979N6353,,,,,,,,,,,,
120,1kmL93E979N6354,E979N6354,,,,,,,,,,,,
121,1kmL93E979N6355,E979N6355,,,,,,,,,,,,
122,1kmL93E979N6356,E979N6356,,,,,,,,,,,,
123,1kmL93E979N6357,E979N6357,,,,,,,,,,,,
124,1kmL93E979N6358,E979N6358,,,,,,,,,,,,
125,1kmL93E979N6359,E979N6359,,,,,,,,,,,,
126,1kmL93E979N6360,E979N6360,,,,,,,,,,,,
127,1kmL93E979N6361,E979N6361,,,,,,,,,,,,
128,1kmL93E979N6362,E979N6362,,,,,,,,,,,,
129,1kmL93E979N6363,E979N6363,,,,,,,,,,,,
130,1kmL93E979N6364,E979N6364,,,,,,,,,,,,
131,1kmL93E979N6365,E979N6365,,,,,,,,,,,,
132,1kmL93E979N6366,E979N6366,,,,,,,,,,,,
133,1kmL93E979N6367,E979N6367,,,,,,,,,,,,
134,1kmL93E979N6368,E979N6368,,,,,,,,,,,,
135,1kmL93E979N6369,E979N6369,,,,,,,,,,,,
136,1kmL93E979N6370,E979N6370,,,,,,,,,,,,
137,1kmL93E979N6371,E979N6371,,,,,,,,,,,,
138,1kmL93E979N6372,E979N6372,,,,,,,,,,,,
139,1kmL93E979N6373,E979N6373,,,,,,,,,,,,
140,1kmL93E979N6374,E979N6374,,,,,,,,,,,,
141,1kmL93E979N6375,E979N6375,,,,,,,,,,,,
142,1kmL93E979N6376,E979N6376,,,,,,,,,,,,
143,1kmL93E979N6377,E979N6377,,,,,,,,,,,,
144,1kmL93E979N6378,E979N6378,,,,,,,,,,,,
145,1kmL93E979N6379,E979N6379,,,,,,,,,,,,
146,1kmL93E979N6380,E979N6380,,,,,,,,,,,,
147,1kmL93E979N6381,E979N6381,,,,,,,,,,,,
148,1kmL93E979N6382,E979N6382,,,,,,,,,,,,
149,1kmL93E979N6383,E979N6383,,,,,,,,,,,,
150,1kmL93E980N6337,E980N6337,,,,,,,,,,,,
151,1kmL93E980N6338,E980N6338,,,,,,,,,,,,
152,1kmL93E980N6339,E980N6339,,,,,,,,,,,,
153,1kmL93E980N6340,E980N6340,,,,,,,,,,,,
154,1kmL93E980N6341,E980N6341,,,,,,,,,,,,
155,1kmL93E980N6342,E980N6342,,,,,,,,,,,,
156,1kmL93E980N6343,E980N6343,,,,,,,,,,,,
157,1kmL93E980N6344,E980N6344,,,,,,,,,,,,
158,1kmL93E980N6345,E980N6345,,,,,,,,,,,,
159,1kmL93E980N6346,E980N6346,,,,,,,,,,,,
160,1kmL93E980N6347,E980N6347,,,,,,,,,,,,
161,1kmL93E980N6348,E980N6348,,,,,,,,,,,,
162,1kmL93E980N6349,E980N6349,,,,,,,,,,,,
163,1kmL93E980N6350,E980N6350,,,,,,,,,,,,
164,1kmL93E980N6351,E980N6351,,,,,,,,,,,,
165,1kmL93E980N6352,E980N6352,,,,,,,,,,,,
166,1kmL93E980N6353,E980N6353,,,,,,,,,,,,
167,1kmL93E980N6354,E980N6354,,,,,,,,,,,,
168,1kmL93E980N6355,E980N6355,,,,,,,,,,,,
169,1kmL93E980N6356,E980N6356,,,,,,,,,,,,
170,1kmL93E980N6357,E980N6357,,,,,,,,,,,,
171,1kmL93E980N6358,E980N6358,,,,,,,,,,,,
172,1kmL93E980N6359,E980N6359,,,,,,,,,,,,
173,1kmL93E980N6360,E980N6360,,,,,,,,,,,,
174,1kmL93E980N6361,E980N6361,,,,,,,,,,,,
175,1kmL93E980N6362,E980N6362,,,,,,,,,,,,
176,1kmL93E980N6363,E980N6363,,,,,,,,,,,,
177,1kmL93E980N6364,E980N6364,,,,,,,,,,,,
178,1kmL93E980N6365,E980N6365,,,,,,,,,,,,
179,1kmL93E980N6366,E980N6366,,,,,,,,,,,,
180,1kmL93E980N6367,E980N6367,,,,,,,,,,,,
181,1kmL93E980N6368,E980N6368,,,,,,,,,,,,
182,1kmL93E980N6369,E980N6369,,,,,,,,,,,,
183,1kmL93E980N6370,E980N6370,,,,,,,,,,,,
184,1kmL93E980N6371,E980N6371,,,,,,,,,,,,
185,1kmL93E980N6372,E980N6372,,,,,,,,,,,,
186,1kmL93E980N6373,E980N6373,,,,,,,,,,,,
187,1kmL93E980N6374,E980N6374,,,,,,,,,,,,
188,1kmL93E980N6375,E980N6375,,,,,,,,,,,,
189,1kmL93E980N6376,E980N6376,,,,,,,,,,,,
190,1kmL93E980N6377,E980N6377,,,,,,,,,,,,
191,1kmL93E980N6378,E980N6378,,,,,,,,,,,,
192,1kmL93E980N6379,E980N6379,,,,,,,,,,,,
193,1kmL93E980N6380,E980N6380,,,,,,,,,,,,
194,1kmL93E980N6381,E980N6381,,,,,,,,,,,,
195,1kmL93E980N6382,E980N6382,,,,,,,,,,,,
196,1kmL93E980N6383,E980N6383,,,,,,,,,,,,
197,1kmL93E981N6337,E981N6337,,,,,,,,,,,,
198,1kmL93E981N6338,E981N6338,,,,,,,,,,,,
199,1kmL93E981N6339,E981N6339,,,,,,,,,,,,
200,1kmL93E981N6340,E981N6340,,,,,,,,,,,,
201,1kmL93E981N6341,E981N6341,,,,,,,,,,,,
202,1kmL93E981N6342,E981N6342,,,,,,,,,,,,
203,1kmL93E981N6343,E981N6343,,,,,,,,,,,,
204,1kmL93E981N6344,E981N6344,,,,,,,,,,,,
205,1kmL93E981N6345,E981N6345,,,,,,,,,,,,
206,1kmL93E981N6346,E981N6346,,,,,,,,,,,,
207,1kmL93E981N6347,E981N6347,,,,,,,,,,,,
208,1kmL93E981N6348,E981N6348,,,,,,,,,,,,
209,1kmL93E981N6349,E981N6349,,,,,,,,,,,,
210,1kmL93E981N6350,E981N6350,,,,,,,,,,,,
211,1kmL93E981N6351,E981N6351,,,,,,,,,,,,
212,1kmL93E981N6352,E981N6352,,,,,,,,,,,,
213,1kmL93E981N6353,E981N6353,,,,,,,,,,,,
214,1kmL93E981N6354,E981N6354,,,,,,,,,,,,
215,1kmL93E981N6355,E981N6355,,,,,,,,,,,,
216,1kmL93E981N6356,E981N6356,,,,,,,,,,,,
217,1kmL93E981N6357,E981N6357,,,,,,,,,,,,
218,1kmL93E981N6358,E981N6358,,,,,,,,,,,,
219,1kmL93E981N6359,E981N6359,,,,,,,,,,,,
220,1kmL93E981N6360,E981N6360,,,,,,,,,,,,
221,1kmL93E981N6361,E981N6361,,,,,,,,,,,,
222,1kmL93E981N6362,E981N6362,,,,,,,,,,,,
223,1kmL93E981N6363,E981N6363,,,,,,,,,,,,
224,1kmL93E981N6364,E981N6364,,,,,,,,,,,,
225,1kmL93E981N6365,E981N6365,,,,,,,,,,,,
226,1kmL93E981N6366,E981N6366,,,,,,,,,,,,
227,1kmL93E981N6367,E981N6367,,,,,,,,,,,,
228,1kmL93E981N6368,E981N6368,,,,,,,,,,,,
229,1kmL93E981N6369,E981N6369,,,,,,,,,,,,
230,1kmL93E981N6370,E981N6370,,,,,,,,,,,,
231,1kmL93E981N6371,E981N6371,,,,,,,,,,,,
232,1kmL93E981N6372,E981N6372,,,,,,,,,,,,
233,1kmL93E981N6373,E981N6373,,,,,,,,,,,,
234,1kmL93E981N6374,E981N6374,,,,,,,,,,,,
235,1kmL93E981N6375,E981N6375,,,,,,,,,,,,
236,1kmL93E981N6376,E981N6376,,,,,,,,,,,,
237,1kmL93E981N6377,E981N6377,,,,,,,,,,,,
238,1kmL93E981N6378,E981N6378,,,,,,,,,,,,
239,1kmL93E981N6379,E981N6379,,,,,,,,,,,,
240,1kmL93E981N6380,E981N6380,,,,,,,,,,,,
241,1kmL93E981N6381,E981N6381,,,,,,,,,,,,
242,1kmL93E981N6382,E981N6382,,,,,,,,,,,,
243,1kmL93E981N6383,E981N6383,,,,,,,,,,,,
244,1kmL93E982N6337,E982N6337,,,,,,,,,,,,
245,1kmL93E982N6338,E982N6338,,,,,,,,,,,,
246,1kmL93E982N6339,E982N6339,,,,,,,,,,,,
247,1kmL93E982N6340,E982N6340,,,,,,,,,,,,
248,1kmL93E982N6341,E982N6341,,,,,,,,,,,,
249,1kmL93E982N6342,E982N6342,,,,,,,,,,,,
250,1kmL93E982N6343,E982N6343,,,,,,,,,,,,
251,1kmL93E982N6344,E982N6344,,,,,,,,,,,,
252,1kmL93E982N6345,E982N6345,,,,,,,,,,,,
253,1kmL93E982N6346,E982N6346,,,,,,,,,,,,
254,1kmL93E982N6347,E982N6347,,,,,,,,,,,,
255,1kmL93E982N6348,E982N6348,,,,,,,,,,,,
256,1kmL93E982N6349,E982N6349,,,,,,,,,,,,
257,1kmL93E982N6350,E982N6350,,,,,,,,,,,,
258,1kmL93E982N6351,E982N6351,,,,,,,,,,,,
259,1kmL93E982N6352,E982N6352,,,,,,,,,,,,
260,1kmL93E982N6353,E982N6353,,,,,,,,,,,,
261,1kmL93E982N6354,E982N6354,,,,,,,,,,,,
262,1kmL93E982N6355,E982N6355,,,,,,,,,,,,
263,1kmL93E982N6356,E982N6356,,,,,,,,,,,,
264,1kmL93E982N6357,E982N6357,,,,,,,,,,,,
265,1kmL93E982N6358,E982N6358,,,,,,,,,,,,
266,1kmL93E982N6359,E982N6359,,,,,,,,,,,,
267,1kmL93E982N6360,E982N6360,,,,,,,,,,,,
268,1kmL93E982N6361,E982N6361,,,,,,,,,,,,
269,1kmL93E982N6362,E982N6362,,,,,,,,,,,,
270,1kmL93E982N6363,E982N6363,,,,,,,,,,,,
271,1kmL93E982N6364,E982N6364,,,,,,,,,,,,
272,1kmL93E982N6365,E982N6365,,,,,,,,,,,,
273,1kmL93E982N6366,E982N6366,,,,,,,,,,,,
274,1kmL93E982N6367,E982N6367,,,,,,,,,,,,
275,1kmL93E982N6368,E982N6368,,,,,,,,,,,,
276,1kmL93E982N6369,E982N6369,,,,,,,,,,,,
277,1kmL93E982N6370,E982N6370,,,,,,,,,,,,
278,1kmL93E982N6371,E982N6371,,,,,,,,,,,,
279,1kmL93E982N6372,E982N6372,,,,,,,,,,,,
280,1kmL93E982N6373,E982N6373,,,,,,,,,,,,
